,date,PM2.5,date_utc,url_date,temp,wind
8057,2021-06-01 17:00:00,,2021-06-01 10:00:00,2021/06/01/1000Z,33.4,250° @ 19
8058,2021-06-01 18:00:00,16.0,2021-06-01 11:00:00,2021/06/01/1100Z,32.0,255° @ 23
8059,2021-06-01 19:00:00,,2021-06-01 12:00:00,2021/06/01/1200Z,28.6,265° @ 22
8060,2021-06-01 20:00:00,17.0,2021-06-01 13:00:00,2021/06/01/1300Z,27.4,280° @ 21
8061,2021-06-01 21:00:00,,2021-06-01 14:00:00,2021/06/01/1400Z,26.4,290° @ 21
8062,2021-06-01 22:00:00,17.0,2021-06-01 15:00:00,2021/06/01/1500Z,25.8,285° @ 19
8063,2021-06-01 23:00:00,,2021-06-01 16:00:00,2021/06/01/1600Z,25.4,285° @ 17
8064,2021-06-02 00:00:00,18.0,2021-06-01 17:00:00,2021/06/01/1700Z,24.8,280° @ 16
8065,2021-06-02 01:00:00,18.0,2021-06-01 18:00:00,2021/06/01/1800Z,24.4,270° @ 15
8066,2021-06-02 02:00:00,18.0,2021-06-01 19:00:00,2021/06/01/1900Z,24.0,270° @ 15
8067,2021-06-02 03:00:00,19.0,2021-06-01 20:00:00,2021/06/01/2000Z,23.7,255° @ 15
8068,2021-06-02 04:00:00,20.0,2021-06-01 21:00:00,2021/06/01/2100Z,23.4,255° @ 16
8069,2021-06-02 05:00:00,,2021-06-01 22:00:00,2021/06/01/2200Z,23.1,260° @ 16
8070,2021-06-02 06:00:00,20.0,2021-06-01 23:00:00,2021/06/01/2300Z,23.0,265° @ 16
8071,2021-06-02 07:00:00,20.0,2021-06-02 00:00:00,2021/06/02/0000Z,24.8,275° @ 16
8072,2021-06-02 08:00:00,20.0,2021-06-02 01:00:00,2021/06/02/0100Z,27.4,275° @ 17
8073,2021-06-02 09:00:00,,2021-06-02 02:00:00,2021/06/02/0200Z,29.9,280° @ 16
8074,2021-06-02 10:00:00,21.0,2021-06-02 03:00:00,2021/06/02/0300Z,32.4,275° @ 12
8075,2021-06-02 11:00:00,22.0,2021-06-02 04:00:00,2021/06/02/0400Z,34.6,255° @ 11
8076,2021-06-02 12:00:00,,2021-06-02 05:00:00,2021/06/02/0500Z,36.0,250° @ 11
8077,2021-06-02 13:00:00,22.0,2021-06-02 06:00:00,2021/06/02/0600Z,36.8,245° @ 10
8078,2021-06-02 14:00:00,22.0,2021-06-02 07:00:00,2021/06/02/0700Z,36.9,240° @ 10
8079,2021-06-02 15:00:00,22.0,2021-06-02 08:00:00,2021/06/02/0800Z,35.8,245° @ 10
8080,2021-06-02 16:00:00,22.0,2021-06-02 09:00:00,2021/06/02/0900Z,34.5,240° @ 14
8081,2021-06-02 17:00:00,23.0,2021-06-02 10:00:00,2021/06/02/1000Z,33.6,250° @ 18
8082,2021-06-02 18:00:00,23.0,2021-06-02 11:00:00,2021/06/02/1100Z,32.5,265° @ 22
8083,2021-06-02 19:00:00,,2021-06-02 12:00:00,2021/06/02/1200Z,29.7,265° @ 19
8084,2021-06-02 20:00:00,23.0,2021-06-02 13:00:00,2021/06/02/1300Z,28.1,270° @ 17
8085,2021-06-02 21:00:00,,2021-06-02 14:00:00,2021/06/02/1400Z,26.9,270° @ 13
8086,2021-06-02 22:00:00,24.0,2021-06-02 15:00:00,2021/06/02/1500Z,26.3,270° @ 11
8087,2021-06-02 23:00:00,24.0,2021-06-02 16:00:00,2021/06/02/1600Z,25.9,270° @ 12
8088,2021-06-03 00:00:00,25.0,2021-06-02 17:00:00,2021/06/02/1700Z,25.4,270° @ 15
8089,2021-06-03 01:00:00,25.0,2021-06-02 18:00:00,2021/06/02/1800Z,24.9,270° @ 15
8090,2021-06-03 02:00:00,25.0,2021-06-02 19:00:00,2021/06/02/1900Z,24.5,265° @ 16
8091,2021-06-03 03:00:00,25.0,2021-06-02 20:00:00,2021/06/02/2000Z,24.1,265° @ 15
8092,2021-06-03 04:00:00,25.0,2021-06-02 21:00:00,2021/06/02/2100Z,23.8,265° @ 15
8093,2021-06-03 05:00:00,26.0,2021-06-02 22:00:00,2021/06/02/2200Z,23.5,265° @ 14
8094,2021-06-03 06:00:00,26.0,2021-06-02 23:00:00,2021/06/02/2300Z,23.4,260° @ 14
8095,2021-06-03 07:00:00,26.0,2021-06-03 00:00:00,2021/06/03/0000Z,25.0,265° @ 15
8096,2021-06-03 08:00:00,26.0,2021-06-03 01:00:00,2021/06/03/0100Z,27.5,275° @ 15
8097,2021-06-03 09:00:00,26.0,2021-06-03 02:00:00,2021/06/03/0200Z,30.1,275° @ 15
8098,2021-06-03 10:00:00,26.0,2021-06-03 03:00:00,2021/06/03/0300Z,32.6,260° @ 12
8099,2021-06-03 11:00:00,,2021-06-03 04:00:00,2021/06/03/0400Z,34.7,250° @ 11
8100,2021-06-03 12:00:00,27.0,2021-06-03 05:00:00,2021/06/03/0500Z,36.0,240° @ 11
8101,2021-06-03 13:00:00,27.0,2021-06-03 06:00:00,2021/06/03/0600Z,36.9,225° @ 9
8102,2021-06-03 14:00:00,,2021-06-03 07:00:00,2021/06/03/0700Z,37.5,210° @ 9
8103,2021-06-03 15:00:00,27.0,2021-06-03 08:00:00,2021/06/03/0800Z,37.5,200° @ 10
8104,2021-06-03 16:00:00,,2021-06-03 09:00:00,2021/06/03/0900Z,36.8,210° @ 10
8105,2021-06-03 17:00:00,27.0,2021-06-03 10:00:00,2021/06/03/1000Z,34.7,240° @ 10
8106,2021-06-03 18:00:00,27.0,2021-06-03 11:00:00,2021/06/03/1100Z,31.8,270° @ 10
8107,2021-06-03 19:00:00,,2021-06-03 12:00:00,2021/06/03/1200Z,30.6,260° @ 11
8108,2021-06-03 20:00:00,27.0,2021-06-03 13:00:00,2021/06/03/1300Z,29.4,265° @ 11
8109,2021-06-03 21:00:00,27.0,2021-06-03 14:00:00,2021/06/03/1400Z,28.5,275° @ 12
8110,2021-06-03 22:00:00,28.0,2021-06-03 15:00:00,2021/06/03/1500Z,27.3,270° @ 16
8111,2021-06-03 23:00:00,28.0,2021-06-03 16:00:00,2021/06/03/1600Z,26.5,275° @ 20
8112,2021-06-04 00:00:00,,2021-06-03 17:00:00,2021/06/03/1700Z,25.8,280° @ 22
8113,2021-06-04 01:00:00,27.0,2021-06-03 18:00:00,2021/06/03/1800Z,25.3,280° @ 22
8114,2021-06-04 02:00:00,27.0,2021-06-03 19:00:00,2021/06/03/1900Z,25.0,280° @ 20
8115,2021-06-04 03:00:00,27.0,2021-06-03 20:00:00,2021/06/03/2000Z,24.9,280° @ 19
8116,2021-06-04 04:00:00,27.0,2021-06-03 21:00:00,2021/06/03/2100Z,24.7,290° @ 17
8117,2021-06-04 05:00:00,26.0,2021-06-03 22:00:00,2021/06/03/2200Z,23.9,290° @ 17
8118,2021-06-04 06:00:00,26.0,2021-06-03 23:00:00,2021/06/03/2300Z,23.8,290° @ 15
8119,2021-06-04 07:00:00,,2021-06-04 00:00:00,2021/06/04/0000Z,25.8,290° @ 14
8120,2021-06-04 08:00:00,26.0,2021-06-04 01:00:00,2021/06/04/0100Z,28.5,290° @ 13
8121,2021-06-04 09:00:00,26.0,2021-06-04 02:00:00,2021/06/04/0200Z,30.9,280° @ 12
8122,2021-06-04 10:00:00,26.0,2021-06-04 03:00:00,2021/06/04/0300Z,33.2,260° @ 10
8123,2021-06-04 11:00:00,,2021-06-04 04:00:00,2021/06/04/0400Z,34.8,255° @ 10
8124,2021-06-04 12:00:00,26.0,2021-06-04 05:00:00,2021/06/04/0500Z,35.6,245° @ 9
8125,2021-06-04 13:00:00,,2021-06-04 06:00:00,2021/06/04/0600Z,34.7,235° @ 11
8126,2021-06-04 14:00:00,25.0,2021-06-04 07:00:00,2021/06/04/0700Z,32.3,230° @ 14
8127,2021-06-04 15:00:00,25.0,2021-06-04 08:00:00,2021/06/04/0800Z,32.3,245° @ 13
8128,2021-06-04 16:00:00,,2021-06-04 09:00:00,2021/06/04/0900Z,33.5,250° @ 14
8129,2021-06-04 17:00:00,25.0,2021-06-04 10:00:00,2021/06/04/1000Z,32.8,235° @ 14
8130,2021-06-04 18:00:00,25.0,2021-06-04 11:00:00,2021/06/04/1100Z,32.7,220° @ 11
8131,2021-06-04 19:00:00,,2021-06-04 12:00:00,2021/06/04/1200Z,29.0,240° @ 12
8132,2021-06-04 20:00:00,25.0,2021-06-04 13:00:00,2021/06/04/1300Z,27.7,245° @ 13
8133,2021-06-04 21:00:00,25.0,2021-06-04 14:00:00,2021/06/04/1400Z,26.0,275° @ 22
8134,2021-06-04 22:00:00,24.0,2021-06-04 15:00:00,2021/06/04/1500Z,25.0,265° @ 26
8135,2021-06-04 23:00:00,24.0,2021-06-04 16:00:00,2021/06/04/1600Z,24.4,260° @ 25
8136,2021-06-05 00:00:00,23.0,2021-06-04 17:00:00,2021/06/04/1700Z,24.0,265° @ 23
8137,2021-06-05 01:00:00,23.0,2021-06-04 18:00:00,2021/06/04/1800Z,23.4,265° @ 22
8138,2021-06-05 02:00:00,,2021-06-04 19:00:00,2021/06/04/1900Z,23.3,260° @ 20
8139,2021-06-05 03:00:00,22.0,2021-06-04 20:00:00,2021/06/04/2000Z,23.2,260° @ 20
8140,2021-06-05 04:00:00,22.0,2021-06-04 21:00:00,2021/06/04/2100Z,23.3,260° @ 20
8141,2021-06-05 05:00:00,21.0,2021-06-04 22:00:00,2021/06/04/2200Z,23.1,260° @ 20
8142,2021-06-05 06:00:00,21.0,2021-06-04 23:00:00,2021/06/04/2300Z,23.1,260° @ 18
8143,2021-06-05 07:00:00,,2021-06-05 00:00:00,2021/06/05/0000Z,24.4,260° @ 15
8144,2021-06-05 08:00:00,20.0,2021-06-05 01:00:00,2021/06/05/0100Z,26.3,265° @ 15
8145,2021-06-05 09:00:00,19.0,2021-06-05 02:00:00,2021/06/05/0200Z,28.4,270° @ 15
8146,2021-06-05 10:00:00,19.0,2021-06-05 03:00:00,2021/06/05/0300Z,30.6,260° @ 13
8147,2021-06-05 11:00:00,18.0,2021-06-05 04:00:00,2021/06/05/0400Z,33.0,245° @ 12
8148,2021-06-05 12:00:00,17.0,2021-06-05 05:00:00,2021/06/05/0500Z,34.9,230° @ 13
8149,2021-06-05 13:00:00,17.0,2021-06-05 06:00:00,2021/06/05/0600Z,33.8,230° @ 12
8150,2021-06-05 14:00:00,17.0,2021-06-05 07:00:00,2021/06/05/0700Z,31.8,240° @ 12
8151,2021-06-05 15:00:00,17.0,2021-06-05 08:00:00,2021/06/05/0800Z,30.7,255° @ 13
8152,2021-06-05 16:00:00,17.0,2021-06-05 09:00:00,2021/06/05/0900Z,28.1,270° @ 20
8153,2021-06-05 17:00:00,16.0,2021-06-05 10:00:00,2021/06/05/1000Z,26.3,270° @ 25
8154,2021-06-05 18:00:00,,2021-06-05 11:00:00,2021/06/05/1100Z,24.2,265° @ 31
8155,2021-06-05 19:00:00,16.0,2021-06-05 12:00:00,2021/06/05/1200Z,24.3,275° @ 26
8156,2021-06-05 20:00:00,16.0,2021-06-05 13:00:00,2021/06/05/1300Z,24.2,295° @ 23
8157,2021-06-05 21:00:00,15.0,2021-06-05 14:00:00,2021/06/05/1400Z,24.1,300° @ 22
8158,2021-06-05 22:00:00,15.0,2021-06-05 15:00:00,2021/06/05/1500Z,24.2,285° @ 16
8159,2021-06-05 23:00:00,,2021-06-05 16:00:00,2021/06/05/1600Z,24.1,265° @ 12
8160,2021-06-06 00:00:00,16.0,2021-06-05 17:00:00,2021/06/05/1700Z,24.0,275° @ 15
8161,2021-06-06 01:00:00,16.0,2021-06-05 18:00:00,2021/06/05/1800Z,23.5,285° @ 18
8162,2021-06-06 02:00:00,16.0,2021-06-05 19:00:00,2021/06/05/1900Z,23.1,290° @ 19
8163,2021-06-06 03:00:00,17.0,2021-06-05 20:00:00,2021/06/05/2000Z,23.0,295° @ 19
8164,2021-06-06 04:00:00,,2021-06-05 21:00:00,2021/06/05/2100Z,22.9,285° @ 20
8165,2021-06-06 05:00:00,17.0,2021-06-05 22:00:00,2021/06/05/2200Z,22.8,280° @ 21
8166,2021-06-06 06:00:00,18.0,2021-06-05 23:00:00,2021/06/05/2300Z,22.8,270° @ 21
8167,2021-06-06 07:00:00,18.0,2021-06-06 00:00:00,2021/06/06/0000Z,23.3,270° @ 21
8168,2021-06-06 08:00:00,18.0,2021-06-06 01:00:00,2021/06/06/0100Z,23.9,270° @ 21
8169,2021-06-06 09:00:00,18.0,2021-06-06 02:00:00,2021/06/06/0200Z,25.1,275° @ 21
8170,2021-06-06 10:00:00,18.0,2021-06-06 03:00:00,2021/06/06/0300Z,26.8,275° @ 19
8171,2021-06-06 11:00:00,,2021-06-06 04:00:00,2021/06/06/0400Z,30.3,270° @ 15
8172,2021-06-06 12:00:00,19.0,2021-06-06 05:00:00,2021/06/06/0500Z,32.9,260° @ 14
8173,2021-06-06 13:00:00,19.0,2021-06-06 06:00:00,2021/06/06/0600Z,33.1,250° @ 13
8174,2021-06-06 14:00:00,,2021-06-06 07:00:00,2021/06/06/0700Z,33.2,255° @ 14
8175,2021-06-06 15:00:00,19.0,2021-06-06 08:00:00,2021/06/06/0800Z,32.8,255° @ 15
8176,2021-06-06 16:00:00,,2021-06-06 09:00:00,2021/06/06/0900Z,32.2,260° @ 14
8177,2021-06-06 17:00:00,19.0,2021-06-06 10:00:00,2021/06/06/1000Z,31.5,265° @ 15
8178,2021-06-06 18:00:00,19.0,2021-06-06 11:00:00,2021/06/06/1100Z,29.9,265° @ 17
8179,2021-06-06 19:00:00,,2021-06-06 12:00:00,2021/06/06/1200Z,27.1,265° @ 17
8180,2021-06-06 20:00:00,19.0,2021-06-06 13:00:00,2021/06/06/1300Z,25.4,275° @ 17
8181,2021-06-06 21:00:00,19.0,2021-06-06 14:00:00,2021/06/06/1400Z,24.8,275° @ 17
8182,2021-06-06 22:00:00,18.0,2021-06-06 15:00:00,2021/06/06/1500Z,24.3,270° @ 14
8183,2021-06-06 23:00:00,19.0,2021-06-06 16:00:00,2021/06/06/1600Z,24.0,270° @ 15
8184,2021-06-07 00:00:00,18.0,2021-06-06 17:00:00,2021/06/06/1700Z,23.5,265° @ 17
8185,2021-06-07 01:00:00,,2021-06-06 18:00:00,2021/06/06/1800Z,23.3,265° @ 21
8186,2021-06-07 02:00:00,18.0,2021-06-06 19:00:00,2021/06/06/1900Z,23.0,275° @ 22
8187,2021-06-07 03:00:00,18.0,2021-06-06 20:00:00,2021/06/06/2000Z,22.9,275° @ 21
