,0,1,2,3,4,5,6,7,8,9,10,11
0,6.5230613,5.4949937,4.887684,6.2498584,6.7549644,6.4828625,6.1009026,8.47409,8.549572,9.009903,7.268125,9.882547
1,6.513693,5.3774114,4.855918,6.6264725,6.782843,6.375804,6.12449,8.85212,8.342533,8.790651,7.192795,10.012515
2,6.5138993,5.245217,4.8834095,7.0556455,6.7914963,6.259257,6.306561,9.24347,7.967706,8.48888,7.162201,10.053929
3,6.4933624,5.1535926,5.0668654,7.398267,6.7388396,6.2019215,6.7228084,9.45966,7.401428,8.177513,7.252516,9.919273
4,6.452503,5.073725,5.418433,7.71443,6.635006,6.128537,7.148576,9.446239,6.7802005,7.8829646,7.387044,9.699355
5,6.3478494,4.9557033,5.8861675,7.9874296,6.4559975,6.0400624,7.5774345,9.229942,6.1218214,7.5903006,7.5263834,9.419871
6,6.173909,4.9260707,6.429215,8.067147,6.2755127,6.0750265,7.998556,8.769054,5.549027,7.4355145,7.716374,9.076776
7,5.9888263,5.030959,6.967281,8.095244,6.1449594,6.2227774,8.3567,8.323084,5.0702243,7.345018,7.886567,8.770848
8,5.8029265,5.1914673,7.4254217,8.055251,6.0057335,6.4311543,8.666397,7.868414,4.5966506,7.2640824,8.005017,8.470715
9,5.6720076,5.43181,7.768918,7.8895717,5.954167,6.75921,8.87006,7.324023,4.3235683,7.369455,8.140148,8.249207
10,5.4942384,5.690758,7.98399,7.703033,5.942449,7.1465845,8.867052,6.844074,4.353616,8.0047,8.410667,8.25335
11,5.2640753,6.009837,7.9604754,7.47973,6.021502,7.6749663,8.6876545,6.4971275,4.6570916,9.002502,8.686319,8.37844
12,5.178878,6.274182,7.6699667,7.189918,6.272462,8.163261,8.397389,6.226634,5.083339,9.686771,8.700904,8.443113
13,5.190539,6.489591,7.2474837,6.8973093,6.617657,8.597261,8.056272,6.055753,5.6046004,10.201234,8.612317,8.5210085
14,5.17663,6.5370965,6.9225864,6.6856604,6.950676,8.87412,7.76204,5.929862,6.121316,10.584855,8.564469,8.569325
15,5.248978,6.4842525,6.643592,6.4616766,7.2549405,8.951629,7.4594555,5.7959194,6.5927386,10.710218,8.445969,8.536655
16,5.410741,6.4305696,6.4898167,6.282488,7.578265,8.898711,7.154873,5.626922,7.111251,10.772982,8.337141,8.45929
17,5.714802,6.3500676,6.2945757,6.1470942,7.9542785,8.678423,6.8252296,5.57495,7.593833,10.483032,8.072569,8.350661
18,6.0784197,6.2955723,6.1354003,6.1468225,8.319514,8.387044,6.523105,5.670752,8.073911,10.15508,7.82802,8.343344
19,6.479024,6.241706,5.973149,6.267965,8.541468,7.996842,6.229983,5.9055314,8.459429,9.811864,7.6112676,8.483367
20,6.812387,6.221254,5.8089256,6.466813,8.621721,7.6372986,5.980227,6.279906,8.725865,9.506359,7.425933,8.726807
21,7.0643625,6.102249,5.631069,6.7502823,8.499881,7.2529716,5.8089004,6.8087664,8.9500065,9.265287,7.282681,9.125217
22,7.0781393,5.9527574,5.473278,7.1067843,8.255119,6.9358826,5.6938276,7.4839134,8.960644,9.04123,7.159384,9.544587
23,7.1326237,5.840214,5.38779,7.6679792,8.144334,6.647305,5.5730352,8.216496,8.820155,8.787776,7.052552,9.968003
24,7.218857,5.639527,5.510149,8.364669,8.014667,6.3179703,5.6127267,8.861192,8.536278,8.499395,7.0772395,10.349511
25,7.220066,5.3790126,5.96434,8.913834,7.755406,5.9931602,5.9215593,9.110559,8.103925,8.202773,7.270809,10.441375
26,7.0700927,5.2072296,6.57556,9.332888,7.4589067,5.7660613,6.3262024,9.188837,7.613522,7.943492,7.502785,10.368488
27,6.846484,5.1386194,7.2467327,9.62255,7.1478353,5.6323037,6.7876983,9.159454,7.0822597,7.720189,7.749575,10.179696
28,6.6320186,5.155248,7.913503,9.666306,6.805269,5.5913115,7.323682,8.9224825,6.5100036,7.558416,8.033364,9.868501
29,6.4371195,5.232148,8.554365,9.522101,6.4729023,5.6429367,7.8760343,8.5051,5.9560866,7.4559712,8.325744,9.491853
30,6.275117,5.374227,9.08604,9.311755,6.1981597,5.7680397,8.332441,8.055599,5.4988203,7.422039,8.571043,9.159835
31,6.1535563,5.5189304,9.446566,9.094756,5.922606,5.884206,8.663188,7.6127095,4.982915,7.342249,8.67697,8.830714
32,6.0023856,5.8544173,9.588105,8.864879,5.7261405,6.1635866,8.812937,7.3587184,4.473655,7.3011956,8.620448,8.55872
33,5.941794,6.2946424,9.437412,8.450684,5.645147,6.5653605,8.780303,7.1281323,4.189807,7.4322925,8.520001,8.404473
34,5.8981733,6.8060904,9.066618,7.926573,5.584332,7.0260515,8.548398,6.87996,4.156656,8.047363,8.556122,8.468222
35,5.9149365,7.2529707,8.492612,7.32423,5.604654,7.4470816,8.246576,6.6726885,4.2202578,8.557346,8.483387,8.530729
36,5.930216,7.6352067,7.7788987,6.694405,5.6842947,7.898901,7.927768,6.4549384,4.437943,9.194124,8.421726,8.576386
37,5.849738,7.800865,7.3265395,6.3235464,5.831461,8.287069,7.6387453,6.1673627,4.8121095,9.929158,8.459101,8.573472
38,5.7804165,7.761731,7.060304,6.086441,6.0674086,8.533193,7.3866463,5.8607664,5.37087,10.642086,8.599161,8.552866
39,5.958558,7.6153784,6.794134,5.840008,6.4714675,8.543773,7.063728,5.5681987,6.110164,10.994203,8.601449,8.457119
40,6.3606534,7.345864,6.352804,5.497765,6.938825,8.251977,6.6508017,5.3773894,6.6838217,10.502886,8.173428,8.211534
41,6.7496734,7.0836325,5.89226,5.2498703,7.3293214,7.864452,6.246696,5.295217,7.0530744,9.925065,7.743996,8.006038
42,7.0636587,6.9033575,5.5116153,5.2770286,7.6763067,7.4590855,5.854069,5.42323,7.261666,9.391143,7.383332,7.975518
43,7.34492,6.7929764,5.189645,5.4851317,7.9387007,7.1212845,5.513056,5.7242045,7.4136143,8.985683,7.0915523,8.111505
44,7.5486355,6.599623,4.899179,5.8055744,7.9865613,6.789884,5.257373,6.1388555,7.5216427,8.697953,6.855687,8.404156
45,7.625752,6.3069263,4.755322,6.1517973,7.8429093,6.492034,5.1783876,6.5485234,7.563888,8.529018,6.7631564,8.736627
46,7.7208033,6.043749,4.740722,6.6773443,7.7829294,6.2894473,5.188957,7.0098453,7.534335,8.409082,6.750527,9.114669
47,7.7519197,5.6804247,4.7959323,7.2321954,7.675002,6.029406,5.2041116,7.3799396,7.3790913,8.255129,6.7573757,9.462641
48,7.7094193,5.370098,5.0711966,7.8108077,7.513427,5.7707763,5.406631,7.729324,7.0523953,8.0247755,6.857839,9.689246
49,7.4800158,4.9929304,5.603938,8.350815,7.2578,5.476944,5.75682,7.801684,6.5627604,7.6797724,6.9774604,9.6326885
50,7.169192,4.771174,6.315171,8.748393,6.9564896,5.26241,6.1479955,7.6976094,6.054326,7.3885503,7.166947,9.443699
51,6.800769,4.627667,7.0267572,8.886636,6.5938787,5.1262913,6.5797544,7.392315,5.4858413,7.129163,7.357067,9.097429
52,6.450204,4.586814,7.737054,8.836678,6.2216144,5.07915,7.042062,6.9450493,4.887058,6.909106,7.558781,8.655735
53,6.1406717,4.6122727,8.3065405,8.7495365,5.8967514,5.0927663,7.4182396,6.6206017,4.359735,6.7118616,7.686385,8.278403
54,5.9249697,4.7570577,8.693474,8.565128,5.6761894,5.211301,7.655136,6.411514,4.0918245,6.700257,7.8103824,8.062916
55,5.634878,5.0812597,8.9878025,8.37813,5.5318727,5.529165,7.7244706,6.196402,4.070577,7.2767677,8.120088,8.082706
56,5.362487,5.3703384,9.115943,8.146807,5.4508605,5.9259105,7.652625,5.904998,4.315728,8.225765,8.458629,8.217095
57,5.1722245,5.6178756,8.999652,7.847246,5.5056863,6.375091,7.4775934,5.6250215,4.8304896,9.303471,8.733437,8.407278
58,5.039377,5.831723,8.6436825,7.473405,5.735736,6.831161,7.22578,5.4413147,5.489623,10.16772,8.835449,8.561212
59,5.109088,6.020051,8.044044,7.0315847,6.0974097,7.156227,6.9330134,5.477551,6.094506,10.36826,8.618491,8.624897
60,5.2971745,6.173728,7.383419,6.5907793,6.4157996,7.308343,6.6481233,5.639978,6.5282345,10.179283,8.28,8.635554
61,5.610725,6.312277,6.878238,6.264024,6.647619,7.2908244,6.4144487,5.8378296,6.850064,9.882846,7.997497,8.635425
62,5.9567227,6.447963,6.4638667,5.9690704,6.8359118,7.17624,6.2101207,5.9912696,7.0914536,9.542396,7.7534328,8.571499
63,6.278364,6.6049857,6.144367,5.8027964,6.965285,7.0028296,6.011109,6.161465,7.2376475,9.255318,7.5670233,8.548783
64,6.47711,6.674377,5.868485,5.774104,7.0679827,6.8574395,5.82552,6.3769794,7.3568783,9.051705,7.408536,8.595176
65,6.643952,6.5978284,5.5906634,5.7791386,7.05037,6.649521,5.683921,6.62366,7.5352435,8.899743,7.278444,8.74071
66,6.7990065,6.4937954,5.3848777,5.854544,7.034501,6.4686575,5.5967684,6.8638663,7.7739973,8.820781,7.201215,8.933394
67,7.1022716,6.2712445,5.138536,5.896746,6.907295,6.216015,5.5128818,7.0420833,8.090475,8.828438,7.1167784,9.183892
68,7.602597,5.9045486,4.9170713,5.9597864,6.64811,5.904285,5.5053267,7.147874,8.446248,8.967509,7.0864406,9.539948
