,0,1,2,3,4,5,6,7,8,9,10,11
0,16.049307,9.547,13.26648,18.337597,17.707396,9.142466,13.5235815,26.420017,25.14408,14.506067,16.407743,21.793104
1,14.452412,9.939298,13.781293,19.298086,16.32336,8.852835,15.45598,28.187721,22.679863,13.318113,16.586184,21.797516
2,12.891085,11.003597,14.267048,20.608858,14.881536,9.28086,17.506733,29.770065,19.917177,13.811492,16.68893,21.871904
3,12.08438,11.476588,15.343722,21.30579,13.915878,9.807263,20.092527,29.914165,17.98789,13.118419,16.871222,21.382298
4,11.71363,11.884568,16.75923,21.168516,12.930297,10.707479,22.672007,29.179972,16.259747,12.874147,17.37001,20.708736
5,11.526316,12.569811,17.749004,20.493786,11.718343,12.127713,24.638124,28.194227,14.177271,15.6651125,18.622835,20.69084
6,12.240709,12.319336,18.543324,18.342707,10.761901,13.118706,26.32616,25.48241,13.082592,18.3017,20.149384,19.902327
7,12.963016,12.050577,19.51409,15.631328,10.4083185,14.0489025,27.545656,21.931477,13.361593,19.24264,21.309763,17.885796
8,12.538786,12.705738,20.253756,13.671089,10.569377,15.661038,28.472677,18.98784,14.269662,20.333302,22.314281,16.145933
9,11.65405,13.846083,20.600168,12.034108,11.12882,17.678858,28.94688,16.406609,15.818813,21.505995,23.101244,14.749739
10,10.653188,15.354689,20.411047,10.600123,12.099523,19.891521,28.989714,14.160088,17.96651,21.37828,23.119974,13.5351515
11,9.795638,17.631666,19.272886,10.037493,13.83264,22.574816,28.359165,13.443302,19.907084,19.779152,21.734928,13.0777025
12,9.516601,19.682455,17.267067,10.139147,15.461555,25.52476,26.393429,13.650175,20.903286,19.035267,19.639587,13.229842
13,10.205966,20.868845,14.974965,10.580983,16.847439,27.559273,23.396193,14.425799,20.944918,20.506308,17.938553,13.87124
14,12.36774,21.469366,12.718785,10.768406,18.01303,27.943464,20.307228,15.418654,20.458338,22.956957,16.568165,14.594233
15,14.836803,21.342386,10.471353,11.823127,19.599583,28.153755,17.608166,16.528543,20.219183,23.78161,14.902395,15.506591
16,17.161444,20.19686,8.808601,13.263856,21.37205,27.926193,15.748724,17.496883,20.326569,23.380001,13.512251,16.352411
17,19.70687,18.653246,8.159633,14.741611,23.203085,26.702038,14.541317,18.627777,20.620703,23.62351,13.147919,17.506157
18,21.494581,16.594294,8.43133,16.176992,24.947264,24.587967,14.249872,19.353977,21.481993,22.73127,13.4054985,18.41951
19,22.216013,14.054794,9.4235935,17.587065,26.56018,21.91004,14.86447,19.616371,22.78012,19.990776,13.898972,18.918737
20,22.587742,11.789123,10.953196,19.070576,28.023617,19.299126,15.845031,20.11539,23.999502,18.061178,14.992707,19.789948
21,23.14377,9.931624,12.679654,20.248491,28.9329,16.873674,16.787308,20.782923,24.8284,17.324156,16.489828,20.813269
22,23.1775,8.352943,14.271359,21.183947,28.925917,14.847699,17.806084,21.393173,25.205229,17.375078,18.211098,21.968987
23,20.451775,7.451749,15.382632,22.642626,27.854853,13.969206,18.556223,21.73836,25.075035,17.05666,19.195107,22.845081
24,16.085432,8.815969,16.213375,25.28191,25.3473,14.219892,18.385773,23.305935,23.392578,19.117239,19.74998,24.337837
25,11.935586,10.852478,17.140085,27.713985,21.815168,15.055744,18.46087,25.171352,21.142134,24.033176,20.989712,26.27245
26,9.485543,12.398459,18.618324,28.78891,19.222967,15.628163,19.331709,25.543493,20.63209,26.122608,21.907904,26.660784
27,8.290869,13.474523,20.951693,28.750235,17.770493,15.851648,21.03225,24.340332,22.169966,22.223282,21.53762,24.92901
28,8.01643,14.549028,23.42065,28.344408,16.942394,16.515581,22.361923,23.886883,23.36603,19.169313,21.490463,23.53599
29,8.622816,15.032948,25.083302,27.26101,16.442265,16.911915,23.08482,23.982931,23.657835,18.331045,21.919228,22.598467
30,10.440447,14.409836,26.175255,24.732746,16.36883,16.499044,23.204416,23.6371,23.301298,18.419586,22.522459,20.957327
31,10.621815,15.811362,27.23806,23.218885,15.802529,17.13707,23.147648,23.677732,22.358126,18.641165,22.74066,19.788528
32,10.534715,18.785772,27.955511,22.407526,15.321534,18.53119,23.229254,24.253225,21.077702,20.531458,23.191029,19.644527
33,10.722315,21.455826,27.779314,20.927332,15.083811,19.657476,23.060394,24.504757,19.780863,24.092134,23.969105,19.653566
34,10.781029,23.535345,26.790287,19.251835,15.013002,20.554132,23.005108,23.885998,19.390892,25.82327,24.04019,19.155767
35,10.630944,25.432045,24.934958,17.815498,15.004932,21.690775,23.0144,22.852947,20.01539,24.68956,22.60695,18.152937
36,11.68718,28.485533,22.56338,18.009193,15.424171,23.691467,22.62802,22.719906,20.656265,23.621351,20.10528,18.084621
37,14.632925,30.474531,20.54314,18.147152,16.23017,24.818687,22.071712,23.02023,20.610569,23.900938,18.414433,18.315222
38,17.358555,29.56399,18.763002,16.86934,16.852785,24.580286,21.794994,22.479036,20.523157,23.417976,17.534546,17.786196
39,20.002863,29.532717,17.0842,17.67047,17.706282,25.219555,21.174166,22.667738,20.4631,22.45024,15.959784,18.035357
40,22.129488,29.03802,15.959149,18.612612,18.743288,25.643036,20.51767,22.756592,20.369522,22.131914,15.058033,18.494934
41,24.537064,27.14895,15.250311,18.499807,19.773716,24.993124,20.090885,22.211012,20.596062,22.006596,15.0631075,18.79039
42,27.167744,24.522108,15.11776,18.186958,21.126677,23.596235,19.968435,21.357113,21.351753,21.283865,15.509434,18.94363
43,28.44508,21.976347,15.744292,18.44872,22.80988,22.335285,20.520512,20.585846,22.572191,18.977875,15.954172,18.81567
44,29.742208,19.710104,17.049158,18.986849,24.709764,21.07358,21.209253,20.347948,23.717838,17.253986,16.832394,19.00217
45,30.919075,17.520903,18.493786,19.44211,26.39019,19.672897,21.831715,20.396454,24.420242,15.922386,17.835552,19.225676
46,31.096605,15.576167,19.676115,19.797173,27.544361,18.465714,22.31584,20.57602,24.434444,14.320917,18.466526,19.10972
47,29.753494,14.581342,20.636053,20.478647,28.089167,18.027655,22.422356,21.014381,23.432673,12.900166,18.6815,18.90441
48,26.973433,14.403389,21.016714,21.421816,27.730318,18.20646,22.004128,21.767912,21.247986,12.205194,18.59758,18.985632
49,23.698412,14.860708,20.86352,22.404133,26.511225,18.863037,21.15712,22.781828,18.132708,13.213249,18.825397,19.65696
50,20.243172,16.25526,20.175402,23.744328,24.548397,20.005962,20.12841,24.015024,14.420181,15.96817,19.163166,20.869547
51,17.442614,17.350454,19.764132,24.767582,22.753672,20.56269,19.983831,23.997543,11.859262,17.623194,18.974083,20.871386
52,15.982594,17.718962,20.151903,24.969025,21.652283,20.598618,20.632402,22.67632,10.914613,18.17386,18.869102,20.027721
53,14.947993,18.675344,20.756231,25.417458,20.809635,21.172443,21.24385,21.7276,10.269875,20.801544,19.39195,19.876884
54,14.409677,18.510105,21.276772,24.392185,20.395134,21.022116,21.999413,19.634476,10.981624,22.039936,19.857086,18.717508
55,14.424171,18.557552,22.327484,23.426315,20.511131,21.00135,22.918926,16.881298,13.207151,20.37705,19.746014,17.002087
56,14.4041195,20.556805,23.57296,23.853388,20.664038,22.437782,22.844118,15.578406,15.267788,20.7567,19.72776,16.906631
57,15.608596,22.090822,24.551899,23.275843,21.390995,23.22529,21.883299,14.500946,17.102037,22.649939,20.126991,16.743193
58,17.638937,21.972118,25.391693,21.857464,22.51537,22.671452,20.858278,12.999237,19.390524,23.199635,20.640072,15.937737
59,19.509834,22.09044,25.798574,20.664593,23.346191,22.065351,19.50869,12.149281,21.577589,21.932226,20.196438,15.073955
60,20.314295,23.252512,25.252253,20.842098,23.614983,22.192787,17.611946,12.66579,22.863216,21.122046,18.743088,15.336025
61,20.923735,24.57928,24.175205,21.318586,23.887661,22.4576,15.596235,13.932629,23.328598,22.160248,17.650255,16.343653
