,0,1,2,3,4,5,6,7,8,9,10,11
0,9.841147,7.567926,10.122198,11.938848,9.11873,9.303009,10.474834,11.644885,9.908374,10.943428,12.805125,13.886611
1,9.48504,7.982769,10.574728,11.679232,8.7541,9.634853,10.793263,11.377345,9.703134,11.065212,12.9212265,13.628442
2,9.18242,8.504829,10.955042,11.386422,8.522889,10.048905,11.0794115,11.121558,9.396267,11.123998,12.933319,13.289886
3,8.937553,9.119894,11.3541155,11.060768,8.360957,10.524754,11.378274,10.844197,9.106199,11.255798,12.944671,12.937101
4,8.720157,9.690813,11.666702,10.685781,8.220444,10.973243,11.560466,10.505797,8.848581,11.371626,12.896028,12.559577
5,8.582144,10.200046,11.837829,10.383381,8.243403,11.388609,11.656561,10.231237,8.588409,11.426535,12.767245,12.199462
6,8.604,10.742457,11.915107,10.005468,8.278401,11.726064,11.65544,9.910111,8.423504,11.510156,12.631917,11.851977
7,8.915687,11.368224,11.740693,9.649201,8.619828,11.972526,11.422537,9.746665,8.407033,11.583652,12.43083,11.610018
8,9.323955,12.003084,11.530735,9.273114,8.989729,12.145894,11.119017,9.589712,8.530755,11.74311,12.28016,11.43456
9,9.827815,12.578628,11.257531,8.812402,9.279028,12.215324,10.718586,9.37146,8.82024,11.930912,12.158422,11.293227
10,10.363791,13.029408,10.919691,8.570332,9.769825,12.259478,10.248922,9.294682,9.161115,12.060571,11.979669,11.238905
11,10.833202,13.242353,10.511142,8.468035,10.237636,12.264677,9.809504,9.301719,9.446416,12.078322,11.736504,11.212588
12,11.21787,13.165979,10.0444565,8.494052,10.649483,12.148734,9.366109,9.357898,9.791945,12.159772,11.562098,11.31444
13,11.734488,12.722165,9.537082,8.786204,11.125305,11.95411,8.943612,9.496235,10.31994,12.261826,11.446225,11.605685
14,12.351687,12.065072,8.956904,9.181213,11.578439,11.687482,8.488706,9.70697,10.936996,12.365447,11.35089,12.028581
15,12.541791,11.400263,8.544791,9.4595785,11.781737,11.398092,8.1487465,9.840585,11.511323,12.494256,11.323729,12.356179
16,12.5317135,10.625071,8.374025,9.81644,11.755112,11.036462,8.002599,9.85497,12.169289,12.574504,11.342892,12.585285
17,12.458897,9.896915,8.302254,10.29703,11.673311,10.624598,7.967762,10.001125,12.780301,12.619196,11.37449,12.804568
18,12.195552,9.28525,8.343646,10.796793,11.606975,10.293749,8.04138,10.300113,13.358429,12.6531,11.431813,13.007127
19,12.064938,8.540672,8.403887,11.186744,11.286644,9.891836,8.145119,10.457895,13.934704,12.399371,11.438527,13.14939
