,0
0,8.593296
1,4.8978033
2,7.4803667
3,8.612697
4,8.781771
5,12.520672
6,17.832289
7,13.276981
8,8.222675
9,7.3335137
10,7.272546
11,9.361375
12,17.329872
13,16.44029
14,14.398222
15,9.823972
16,9.124065
17,7.8720384
18,8.031516
19,6.8892894
20,5.2538958
21,5.9401603
22,6.6058683
23,6.105919
24,6.184463
25,10.014225
26,8.218778
27,10.451171
28,10.606762
29,11.222632
30,10.150305
31,7.7218094
32,6.9856005
33,9.844859
34,11.672017
35,10.706327
36,10.2611475
37,12.592638
38,11.657404
39,10.938299
40,12.362305
41,10.768683
42,8.078446
43,5.278508
44,5.5189104
45,5.4100084
46,7.1841316
47,10.198067
48,7.7123957
49,4.615831
50,13.920164
51,14.076534
52,14.118785
53,2.920061
54,15.2767725
55,14.61037
56,20.6201
57,17.148653
58,11.639012
59,8.846751
60,16.40215
61,18.710352
62,17.89607
63,18.288116
64,4.439027
65,9.9473715
66,10.38827
67,7.3654947
68,6.770257
69,12.880016
70,12.0998335
71,5.212258
72,5.178371
73,5.598722
74,17.835117
75,19.099398
76,19.589598
77,17.273827
78,10.562552
79,10.599511
80,15.973663
81,18.834965
82,19.275484
83,12.198459
84,7.362244
85,7.903407
86,14.651727
87,18.952663
88,23.277674
89,16.844664
90,4.617534
91,7.869656
92,21.03204
93,29.33037
94,32.322235
95,18.210352
96,6.239319
97,8.753428
98,23.62539
99,24.972336
100,23.443455
101,18.895552
102,12.331606
103,10.762455
104,14.861551
105,18.60988
106,18.752987
107,16.229797
108,8.40152
109,5.5292907
110,7.6662445
111,7.4713883
112,12.132045
113,16.614468
114,18.440481
115,14.8927965
116,12.0427
117,13.666778
118,18.566898
119,19.581152
120,19.780842
121,18.367256
122,21.104908
123,20.92269
124,18.908901
125,17.661175
126,18.191265
127,16.969036
128,16.393988
129,14.498922
130,10.7306385
131,17.028555
132,15.904935
133,37.09677
134,21.864065
135,15.703468
136,21.692347
137,29.58995
138,34.07739
139,34.15721
140,29.120178
141,26.685516
142,20.736994
143,30.8267
144,33.22602
145,35.07923
146,26.98743
147,22.755474
148,16.512339
149,19.278254
150,14.222111
151,9.797083
152,14.473755
153,20.955433
154,26.48815
155,26.31676
156,15.120838
157,13.0684185
158,23.158424
159,39.347946
160,37.81099
161,32.554634
162,22.080347
163,16.591457
164,15.101872
165,20.124813
166,21.79926
167,25.524002
168,19.564589
169,14.481786
170,14.722107
171,21.039536
172,28.776764
173,35.759926
174,21.467474
175,7.950547
176,13.456883
177,16.95726
178,18.008324
179,18.3349
180,8.392025
181,4.973814
182,12.420665
183,29.188345
184,27.824835
185,27.024328
186,18.356953
187,12.698777
188,13.326733
189,16.35082
190,18.508509
191,18.627733
192,15.270334
193,12.79247
194,18.41956
195,35.544357
196,43.83974
197,46.181274
198,21.504148
199,11.531469
200,11.520023
201,13.032555
202,15.106669
203,18.478342
204,11.015382
205,4.843795
206,6.595228
207,18.529358
208,24.796204
209,22.942474
210,14.702895
211,10.262172
212,12.499359
213,16.894276
214,22.856426
215,27.25147
216,22.301563
217,17.297918
218,23.248356
219,29.628595
220,29.298378
221,24.821243
222,14.605202
223,7.881966
224,6.9704137
225,14.234285
226,19.9724
227,21.04157
228,16.408314
229,10.171513
230,10.5587015
231,20.404552
232,24.211912
233,22.68425
234,13.673357
235,11.494327
236,11.954497
237,19.18151
238,23.096886
239,26.783598
240,20.1092
241,16.075373
242,28.023764
243,45.237125
244,44.720276
245,40.8121
246,29.14612
247,18.00895
248,13.371991
249,18.265785
250,23.707615
251,27.254316
252,19.593151
253,10.842738
254,12.84368
255,30.26452
256,29.129223
257,29.991457
258,20.990341
259,13.219417
260,14.447622
261,18.616077
262,19.153584
263,18.80072
264,14.760253
265,14.361368
266,13.7403345
267,23.311657
268,29.149536
269,28.022049
270,18.312986
271,10.325395
272,6.6426334
273,9.992725
274,17.154873
275,14.567537
276,4.413629
277,6.1474724
278,17.302837
279,19.927315
280,20.917654
281,11.388281
282,7.8750343
283,10.090605
284,12.194275
285,5.533421
286,8.103617
287,8.502404
288,18.681805
289,31.785482
290,28.346403
291,19.229328
292,6.869874
293,5.6175537
294,15.351516
295,6.708793
296,10.076527
297,6.734868
298,14.217958
299,32.31673
300,34.28867
301,36.17776
302,25.433807
303,15.154017
304,12.286034
305,18.758211
306,20.867008
307,16.532001
308,13.425515
309,9.292533
310,10.155287
311,17.686014
312,17.504166
313,15.381995
314,9.133854
315,4.584127
316,11.283592
317,16.268848
318,21.278164
319,14.255802
320,19.302076
321,22.434706
322,37.04114
323,34.186794
324,41.231804
325,28.412169
326,16.895071
327,14.120412
328,17.418293
329,16.322779
330,20.313898
331,16.753304
332,12.2098675
333,15.283718
334,25.983961
335,24.250254
336,19.498405
337,9.305729
338,5.877801
339,15.478019
340,17.138506
341,12.288573
342,12.756662
343,16.950527
344,33.898266
345,34.370213
346,27.385744
347,10.860853
348,18.49524
349,11.112888
350,17.438517
351,25.200525
352,26.225788
353,22.651012
354,12.888293
355,12.948797
356,13.508649
357,15.310012
358,19.868525
359,13.9585285
360,19.569454
361,6.118607
362,13.227478
363,18.836195
364,11.878158
365,17.383972
366,14.597396
367,19.88882
368,13.716565
369,22.378149
370,14.815563
371,29.909073
372,17.49039
373,12.163139
374,7.721283
375,13.103636
376,13.088024
377,17.988352
378,15.780194
379,19.39578
380,28.337296
381,29.673985
382,58.46833
383,29.134275
384,25.651682
385,32.204395
386,25.666422
387,17.780499
388,21.07063
389,17.388582
390,14.849873
391,23.219763
392,14.689733
393,13.53486
394,22.54475
395,10.432511
396,42.289898
397,34.31874
398,16.10171
399,17.775818
400,4.3723207
401,15.677189
402,10.6959915
403,16.701204
404,28.675217
405,40.34503
406,11.083381
407,21.191126
408,30.10815
409,22.358034
410,20.776596
411,19.514896
412,20.406706
413,19.346182
414,22.487791
415,19.323612
416,19.572926
417,20.060617
418,17.461802
419,20.258053
420,15.511692
421,11.814094
422,9.457592
423,10.3043585
424,4.971509
425,13.877379
426,18.348839
427,53.529346
428,27.853733
429,31.42151
430,14.595342
431,12.517843
432,19.04778
433,23.533491
434,20.623657
435,27.630213
436,25.051247
437,20.26229
438,25.013586
439,36.99151
440,22.202791
441,5.971544
442,21.420977
443,42.607033
444,22.786243
445,15.75019
446,19.677557
447,10.278653
448,10.835991
449,11.225137
450,33.442383
451,29.508568
452,34.78563
453,38.945274
454,33.21697
455,23.17427
456,25.028368
457,24.271824
458,21.174812
459,19.529936
460,30.04494
461,30.284199
462,35.35304
463,36.35732
464,27.162457
465,26.411482
466,19.738205
467,11.878404
468,7.0604663
469,17.261124
470,11.56125
471,14.31572
472,7.7432394
473,34.55157
474,28.850052
475,22.877676
476,19.999084
477,25.098454
478,33.770172
479,11.700925
480,21.629791
481,30.713398
482,27.821865
483,25.089563
484,20.83171
485,18.611174
486,12.993495
487,15.236087
488,9.050179
489,7.365322
490,10.236543
491,21.77156
492,26.93432
493,29.2562
494,24.512417
495,15.891685
496,31.463982
497,26.018875
498,28.141941
499,33.26059
500,24.563103
501,18.266953
502,13.753263
503,10.776699
504,21.581898
505,20.639568
506,20.381603
507,17.548134
508,15.734282
509,19.279337
510,13.817473
511,8.975146
512,14.284896
513,19.197422
514,22.189987
515,25.99081
516,22.161531
517,29.739452
518,22.716818
519,6.4000077
520,8.272131
521,20.459084
522,16.07421
523,12.260305
524,38.224594
525,30.268517
526,36.582157
527,34.337006
528,26.327991
529,18.731106
530,19.52109
531,22.063208
532,20.116247
533,24.864002
534,21.228077
535,9.437518
536,21.776789
537,35.895622
538,47.704056
539,27.202085
540,18.057045
541,8.013079
542,22.64064
543,13.419958
544,15.864151
545,20.301981
546,12.162568
547,24.534615
548,33.06105
549,35.715237
550,41.3769
551,20.472425
552,25.236221
553,25.076214
554,19.050451
555,23.67059
556,21.544077
557,27.493683
558,32.209423
559,30.796314
560,24.805573
561,18.022509
562,7.170807
563,7.5563498
564,32.78034
565,29.937338
566,23.87465
567,19.46994
568,16.578028
569,15.484746
570,23.47108
571,24.885986
572,45.8961
573,26.627605
574,21.854218
575,24.120712
576,17.853088
577,15.272343
578,16.714006
579,16.518473
580,12.726371
581,13.375859
582,16.761507
583,16.324692
584,16.198349
585,20.094496
586,19.137308
587,17.503006
588,9.060239
589,6.9556007
590,9.753777
591,21.064522
592,9.923658
593,7.5856857
594,19.318228
595,37.722332
596,25.010788
597,24.859003
598,15.010684
599,19.85901
600,13.928891
601,15.874225
602,14.890309
603,14.320735
604,17.128134
605,19.55187
606,21.823563
607,22.974384
608,20.95581
609,14.323747
610,7.99515
611,6.5920124
612,12.145292
613,6.894574
614,7.1129427
615,7.268621
616,7.8412533
617,11.339345
618,12.810376
619,22.391363
620,5.7462044
621,13.623709
622,19.670225
623,15.363735
624,18.812334
625,13.854735
626,19.808119
627,11.144572
628,16.257874
629,16.05941
630,20.276611
631,17.276
632,15.076274
633,12.188144
634,9.333505
635,5.6245866
636,7.1679964
637,8.591535
638,10.393717
639,11.311257
640,12.59249
641,14.883208
642,16.976372
643,21.64707
644,38.45622
645,24.193783
646,12.56169
647,17.733305
648,17.198885
649,12.300591
650,13.710319
651,8.856583
652,12.952206
653,22.598604
654,18.845972
655,18.468565
656,14.825885
657,7.2479095
658,28.689594
659,13.823714
660,15.963144
661,16.559654
662,16.583517
663,15.556352
664,10.188611
665,27.822355
666,36.743008
667,12.020717
668,9.1091175
669,17.963722
670,15.845266
671,15.570496
672,8.520656
673,9.809555
674,11.8314705
675,21.580366
676,25.927032
677,16.72427
678,23.968006
679,4.5912504
680,12.512933
681,31.189821
682,26.525192
683,8.964467
684,21.347559
685,15.198748
686,17.70619
687,27.560562
688,16.537613
689,12.900271
690,15.10314
691,19.60926
692,15.418766
693,14.225749
694,16.299974
695,12.4973345
696,16.071318
697,13.767254
698,17.834467
699,30.824297
700,21.667452
701,16.184622
702,16.455183
703,8.704602
704,5.8627143
705,10.502456
706,5.514037
707,7.037705
708,7.7421265
709,16.024164
710,11.229829
711,27.269178
712,9.057014
713,11.38031
714,15.172985
715,11.9634695
716,14.033085
717,13.740385
718,11.891951
719,12.056414
720,13.257147
721,9.849317
722,11.040669
723,7.8051643
724,11.820844
725,11.291083
726,3.3063152
727,6.9058995
728,10.727625
729,14.311328
730,18.624979
731,9.531709
732,11.112368
733,5.3493295
734,18.155472
735,8.086794
736,9.774816
737,9.070308
738,12.794634
739,13.259742
740,12.726498
741,7.2908754
742,12.628038
743,8.7941475
744,10.882294
745,8.503681
746,9.2376375
747,8.104208
748,6.4318633
749,12.077972
750,4.878332
751,8.332726
752,8.50268
753,7.0824485
754,11.7950535
755,7.802734
756,7.197228
757,8.90195
758,8.050207
759,8.342406
760,15.402104
761,11.19255
762,12.8488865
763,10.815154
764,15.50717
765,10.681823
766,13.389648
767,12.718362
768,17.426287
769,6.743634
770,11.653163
771,4.7103076
772,11.955238
773,5.5531545
774,9.414762
775,9.339239
776,9.715543
777,8.773557
778,10.102635
779,7.639717
780,17.019068
781,7.456825
782,15.47406
783,12.40278
784,10.27579
785,13.83064
786,15.241689
787,17.4029
788,18.587948
789,15.936483
790,22.878307
791,8.12216
792,16.59242
793,8.581691
794,9.125263
795,7.7430897
796,6.033921
797,7.8642416
798,5.175995
799,7.0758266
800,9.3510065
801,5.0933475
802,12.633017
803,8.63253
804,17.875023
805,2.2417314
806,16.213495
807,12.958536
808,7.97406
809,9.463162
810,9.986135
811,8.551313
812,12.960877
813,11.072511
814,11.404089
815,12.370423
816,23.399538
817,26.37902
818,16.475794
819,24.626526
820,18.064898
821,11.336343
822,23.221962
823,14.361785
824,19.90317
825,14.49336
826,11.227622
827,17.095339
828,13.970312
829,15.812734
830,13.521096
831,16.294167
832,13.635679
833,17.87077
834,26.873173
835,29.3974
836,19.241047
837,22.385468
838,33.595577
839,15.4846945
840,6.4120226
841,7.3514194
842,8.9066105
843,14.965044
844,9.380541
845,15.931646
846,20.436787
847,18.517038
848,21.222979
849,19.035252
850,13.637625
851,14.769926
852,11.864733
853,13.828792
854,9.681273
855,23.412731
856,26.51101
857,25.24091
858,23.02895
859,25.483936
860,28.807398
861,31.10362
862,26.940735
863,31.584259
864,18.827957
865,34.6058
866,32.224613
867,17.623936
868,20.665213
869,9.840612
870,15.925116
871,10.690447
872,22.260792
873,18.419172
874,13.000733
875,16.243946
876,12.439298
877,16.823427
878,15.422057
879,14.641215
880,16.401579
881,17.972227
882,17.003532
883,20.862793
884,13.893806
885,8.991058
886,7.2772756
887,6.8757334
888,9.728744
889,10.326513
890,11.55762
891,5.2864504
892,17.048964
893,3.449298
894,9.5498295
895,5.3897395
896,21.481213
897,13.181339
898,15.421701
899,16.072172
900,19.924004
901,16.267746
902,10.040392
903,17.086376
904,17.707047
905,15.638787
906,20.156776
907,20.886978
908,10.710747
909,12.422909
910,5.4816175
911,6.7206326
912,10.527227
913,5.769115
914,16.97867
915,6.130014
916,15.019117
917,5.8304214
918,13.468877
919,14.408625
920,14.291109
921,10.766363
922,18.368513
923,11.425918
924,13.932332
925,15.504947
926,15.411229
927,24.599476
928,18.451881
929,17.443336
930,15.244684
931,14.0437765
932,15.731721
933,12.177015
934,9.598092
935,20.064516
936,23.585718
937,13.183697
938,19.407991
939,31.503426
940,43.356365
941,23.823862
942,18.311893
943,10.055665
944,14.3963785
945,15.9796915
946,14.032698
947,17.105555
948,15.010929
949,11.908334
950,16.5549
951,20.247135
952,20.139257
953,29.247805
954,17.257088
955,14.071212
956,5.224766
957,12.322463
958,9.86489
959,5.1980557
960,12.151872
961,13.423719
962,18.37177
963,12.216443
964,15.964165
965,28.424517
966,15.435497
967,11.007617
968,11.559102
969,12.365731
970,12.078998
971,13.2259865
972,11.908392
973,17.6636
974,20.899914
975,14.630767
976,13.744624
977,16.454977
978,9.416922
979,5.1411233
980,8.24808
981,6.111777
982,10.354736
983,6.8442726
984,14.512925
985,11.588998
986,6.259569
987,8.612098
988,13.648649
989,4.796801
990,17.757765
991,11.945155
992,12.590061
993,11.962719
994,13.124715
995,13.787298
996,21.108994
997,21.151268
998,21.65987
999,18.184948
1000,6.0948977
1001,9.164554
1002,12.558812
1003,10.615667
1004,7.4171724
1005,5.968071
1006,7.648589
1007,8.851189
1008,7.1724343
1009,7.6710796
1010,5.6094923
1011,11.059942
1012,13.804311
1013,15.059143
1014,10.665272
1015,16.547096
1016,16.44306
1017,22.895496
1018,23.495201
