,0,1,2,3,4,5,6,7,8,9,10,11
0,16.66166,16.348469,16.523268,16.30796,17.525082,13.607586,16.95016,14.108047,15.831737,15.786784,17.553288,14.459883
1,17.243156,15.923692,16.80493,16.058077,18.145182,12.931343,16.970293,13.7387905,16.316978,14.648389,17.251993,13.818308
2,17.485771,16.126156,17.225277,16.004892,17.957586,12.732741,17.039783,13.736548,16.471025,14.656022,17.440311,13.81259
3,17.01302,16.17109,17.373392,16.012356,16.829378,12.296217,16.734182,13.746416,15.9884815,14.8011265,17.571554,13.914744
4,16.313494,15.856449,17.10432,16.116678,16.044647,11.932107,16.308823,13.695976,15.149789,14.242581,16.991364,13.595468
5,15.641187,15.884134,16.89978,16.07186,15.151332,11.825123,16.100298,13.648121,13.959232,13.620783,16.216276,13.145617
6,15.230431,16.090553,16.577816,16.130857,14.587167,11.800693,15.823381,13.669101,12.655523,12.74695,15.193745,12.563458
7,14.944987,17.05217,16.09016,16.590628,14.329696,12.8810625,15.523149,14.400537,12.1729,13.288238,14.798773,13.1456995
8,14.91758,18.133457,15.526213,16.903704,14.113122,13.8400955,15.22105,15.127137,11.706795,13.763032,14.424902,13.634884
9,15.104975,18.89797,15.450144,16.149506,13.989945,14.211041,15.3717985,14.839687,11.646468,14.271416,14.5616,13.54551
10,15.040326,18.39192,15.489652,15.016395,13.837425,13.675697,15.85055,13.87066,11.48577,14.104416,14.692584,12.804541
11,15.733552,18.032166,16.027496,14.169011,14.572317,13.366732,16.595251,13.025558,12.236904,14.013148,15.2114725,12.217005
12,16.696802,17.973185,16.36675,13.9786005,15.258371,13.215065,16.918165,12.877189,13.15239,14.454647,16.060913,12.465293
13,17.510122,17.559616,16.42843,13.86723,16.134657,12.912298,17.02291,12.577309,13.571894,13.874666,16.04601,12.132295
14,18.400177,17.117146,16.285717,13.874914,17.075869,12.643852,16.945478,12.366689,13.837338,13.1953,16.014421,11.918196
15,18.483683,16.656818,15.823871,14.0995865,17.338816,12.4953,16.435162,12.393306,13.941335,13.146506,16.049837,12.118022
16,18.075136,16.032677,15.200239,14.16925,17.113699,12.0924835,15.81205,12.198589,13.425267,12.638019,15.587593,11.837336
17,17.020273,15.558304,14.562757,14.251307,16.307405,11.848646,15.106784,12.220137,12.940965,12.526261,15.170227,11.8244705
18,15.99175,15.273013,14.147769,14.585997,15.510189,11.829789,14.687472,12.449674,12.741329,13.454685,15.307039,12.285051
19,15.0826025,15.298863,13.59337,14.606684,14.749853,11.873753,14.138857,12.7766485,12.422197,13.250924,14.795744,12.335603
20,14.511051,15.431867,12.780467,14.885172,14.374446,12.253361,13.616825,13.14618,12.14784,14.328657,14.68959,12.92278
21,13.878529,15.241441,12.284956,14.675383,13.968356,12.346672,13.481143,13.345273,12.142798,14.439994,14.521667,13.074034
22,13.387847,14.512664,12.003044,14.049134,13.668629,11.9174385,13.5816965,13.004407,12.187005,14.019481,14.442926,12.759434
23,13.019449,13.373986,11.982034,13.299742,13.580044,11.0534115,13.756963,12.38301,12.225109,13.192795,14.396484,12.124689
24,13.241392,12.644562,12.398339,13.051586,14.039971,10.544195,14.166217,12.156768,12.811493,12.714094,14.68694,11.976672
25,13.530503,12.05756,12.622146,13.048357,14.5281,10.019818,14.23571,11.942968,13.056466,11.976128,14.597135,11.698247
26,13.542675,11.99832,13.020295,13.274985,14.495699,9.906839,14.341419,12.002582,13.226194,12.022105,14.866516,11.898331
27,13.241705,11.970741,13.164628,13.417324,14.207625,9.922049,14.303287,12.010716,13.112212,12.237898,14.987333,12.049853
28,12.75068,11.854304,13.023681,13.406583,13.625793,9.632354,13.957068,11.8759985,12.405831,11.610146,14.43092,11.690843
29,12.633788,12.262297,13.215985,13.786724,13.241522,9.97153,13.993691,12.277709,12.2798605,12.283599,14.63033,12.118418
30,12.416777,12.765329,13.192958,14.444672,12.820105,10.535106,13.928986,12.906406,11.96938,13.721287,15.00193,13.078971
31,12.010598,13.229059,13.010175,14.77685,12.344811,11.082054,13.820027,13.534096,11.762106,14.696263,15.157921,13.835862
32,11.676919,13.504981,12.618886,14.580112,12.058788,11.29446,13.7477665,13.99455,11.642096,13.796657,14.560947,13.674777
33,11.408667,13.22818,12.193822,14.084988,12.0247555,11.260529,13.852021,13.814292,11.5554905,13.584919,14.338874,13.324329
34,11.277568,12.784601,12.023603,13.39509,12.052411,11.009954,14.115201,13.347676,11.689672,13.458585,14.409096,12.887582
35,11.878976,12.577912,12.515289,13.107773,12.57574,10.799482,14.634322,13.117376,12.448097,13.372064,14.860154,12.710072
36,12.456282,12.726786,13.360257,13.22142,12.891392,10.794141,15.271347,13.221791,13.25098,14.060162,15.870746,13.171594
37,12.855113,12.801243,13.945004,12.972749,12.9726715,10.545915,15.662199,12.95896,13.615651,13.681561,16.148054,12.984987
38,13.402883,13.1178055,14.52514,12.882208,12.958575,10.433119,16.00775,12.917488,13.854197,13.62003,16.60119,13.089416
